date_time,maxtempC,mintempC,humidity
2020-01-22,7,1,68
2020-01-23,9,2,66
2020-01-24,9,2,62
2020-01-25,8,2,89
2020-01-26,10,5,86
2020-01-27,9,8,83
2020-01-28,8,1,66
2020-01-29,10,5,73
2020-01-30,11,5,91
2020-01-31,13,11,86
2020-02-01,14,11,79
2020-02-02,16,11,84
2020-02-03,13,4,78
2020-02-04,9,5,63
2020-02-05,9,5,74
2020-02-06,11,4,66
2020-02-07,10,5,68
2020-02-08,10,8,82
2020-02-09,12,7,78
2020-02-10,10,9,59
2020-02-11,8,5,60
2020-02-12,9,5,67
2020-02-13,11,3,71
2020-02-14,12,7,79
2020-02-15,13,7,77
2020-02-16,16,13,64
2020-02-17,12,8,61
2020-02-18,11,5,63
2020-02-19,9,7,70
2020-02-20,10,8,70
2020-02-21,10,5,65
2020-02-22,13,6,75
2020-02-23,14,10,83
2020-02-24,13,11,78
2020-02-25,10,6,70
2020-02-26,8,2,63
2020-02-27,11,4,74
2020-02-28,7,3,79
2020-02-29,11,6,71
2020-03-01,9,2,75
2020-03-02,8,6,78
2020-03-03,9,3,70
2020-03-04,8,4,78
2020-03-05,11,8,88
2020-03-06,9,6,69
2020-03-07,12,4,73
2020-03-08,11,7,79
2020-03-09,12,6,67
2020-03-10,14,8,84
2020-03-11,17,13,73
2020-03-12,11,7,63
2020-03-13,12,6,61
2020-03-14,11,7,74
2020-03-15,16,7,73
2020-03-16,11,9,81
2020-03-17,16,9,75
